College Name,Course Offered,Fees,Exams Accepted,Highest Package,Review Rating,City,State,ID
"Army Institute of Technology, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,00,000",JEE Main,39 LPA,3.2,Pune,Maharashtra,186
"NDMVP&rsquo;s KBT College of Engineering - Nashik, Nashik, Maharashtra",B. Tech - Computer Science Engineering,,,,3.2,Nashik,Maharashtra,187
"Kamla Nehru Mahavidyalaya, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),,,,3.0,Nagpur,Maharashtra,188
"Suman Ramesh Tulsiani Technical Campus, Pune, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,3.0,Pune,Maharashtra,189
"Vidya Pratishthan&rsquo;s College of Engineering - Baramati, Baramati, Maharashtra",Bachelor of Engineering,,,,3.0,Baramati,Maharashtra,190
"Shah & Anchor Kutchhi Engineering College, Mumbai, Maharashtra",Bachelor of Engineering,,MHT CET,,3.0,Mumbai,Maharashtra,191
"Dyal college, Yavatmal, Maharashtra",Bachelor of Engineering,,,,3.0,Yavatmal,Maharashtra,192
"Indian Institute of Information Technology (IIIT - Nagpur), Nagpur, Maharashtra",B.E (Hons),"4,72,000",JEE Main,,3.0,Nagpur,Maharashtra,193
"Maharashtra College of Engineering, Latur, Maharashtra",Bachelor of Technology (B.Tech),,,,3.0,Latur,Maharashtra,194
"Genba Sopanrao Moze College of Engineering, Pune, Maharashtra",Bachelor of Engineering,"1,80,000",JEE Main,,3.0,Pune,Maharashtra,195
"Dr Vithalrao Vikhe Patil College Of Engineering, Ahmednagar, Maharashtra",Bachelor of Engineering,,,,3.0,Ahmednagar,Maharashtra,196
"Shivaji Rao S Jondhale College of Engineering, Thane, Maharashtra",Bachelor of Engineering,,,,3.0,Thane,Maharashtra,197
"Fr Conceicao Rodrigues College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"5,64,184",MHT CET,34.5 LPA,3.0,Mumbai,Maharashtra,198
"Bajaj Institute of Technology, Wardha, Maharashtra",Bachelor of Technology (B.Tech),,,,3.0,Wardha,Maharashtra,199
"Sipna College of Engineering & Technology, Amravati, Maharashtra",Bachelor of Engineering,,MHT CET,,3.0,Amravati,Maharashtra,200
"Government College Of Engineering And Research - Avasari Khurd, Pune, Maharashtra",B. Tech - Computer Science Engineering,,,,3.0,Pune,Maharashtra,201
"Indian Institute of Management Training (IIMT PUNE), Pune, Maharashtra",Bachelor of Technology (B.Tech),"2,00,000",,,3.0,Pune,Maharashtra,202
"Amity University - Mumbai, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"8,88,000",JEE Main,30 LPA,3.0,Mumbai,Maharashtra,203
"Matoshri College of Engineering & Research Center, Nashik, Maharashtra",Bachelor of Engineering,"2,48,000",MHT CET,,3.0,Nashik,Maharashtra,204
"Dr Bhausaheb Nandurkar College of Engineering and Technology, Yavatmal, Maharashtra",Bachelor of Technology (B.Tech),,,,3.0,Yavatmal,Maharashtra,205
"Dr Babasaheb Ambedkar College of Engineering & Research, Nagpur, Maharashtra",Bachelor of Engineering,,,,3.0,Nagpur,Maharashtra,206
"Indira College of Engineering and Management - ICEM, Pune, Maharashtra",Bachelor of Engineering,"4,25,388",JEE Main,14 LPA,2.8,Pune,Maharashtra,207
"VES Institute of Technology (VESIT), Mumbai, Maharashtra",Bachelor of Engineering,"3,40,000",MHT CET,,2.8,Mumbai,Maharashtra,208
"SNJB Jain College of Engineering, Nashik, Maharashtra",Bachelor of Engineering,"2,40,000",JEE Main,,2.5,Nashik,Maharashtra,209
"Dr D Y Patil Biotechnology & Bioinformatics Institute, Pune, Maharashtra",B. Tech - Computer Science Engineering,,,,2.5,Pune,Maharashtra,210
"Vishwabharati Academys College of Engineering, Ahmednagar, Maharashtra",Bachelor of Engineering,,JEE Main,,2.0,Ahmednagar,Maharashtra,211
"KVN Naik Institute Of Engineering Education & Research, Nashik, Maharashtra",B. Tech - Computer Science Engineering,,,,2.0,Nashik,Maharashtra,212
"Sanjay Godhawat Group of Institutions, Kolhapur, Maharashtra",Bachelor of Technology (B.Tech),"3,93,200",JEE Main,,1.5,Kolhapur,Maharashtra,213
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,214
"Maharashtra Academy of Naval Education & training (MANET), Pune, Maharashtra",Bachelor of Technology (B.Tech),"17,51,020",,,1.0,Pune,Maharashtra,215
"Dr DY Patil Institute of Technology, Pune, Maharashtra",Bachelor of Technology (B.Tech),"4,07,076",JEE Main,,1.0,Pune,Maharashtra,216
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,217
"ATLAS SkillTech University, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,218
"DY Patil Educational Society, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Pune,Maharashtra,219
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,220
"Anjuman-I-Islam&rsquo;s Kalsekar Technical Campus, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"3,28,850",JEE Main,,1.0,Mumbai,Maharashtra,221
"MIT School of Computing Information, Pune, Maharashtra",B.Tech CSE & IT,"2,67,000",MHT CET,,1.0,Pune,Maharashtra,222
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,223
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,224
"Ajeenkya DY Patil University - NUOVOS, Pune, Maharashtra","B.Tech in Consumer Tech Edtech, Foodtech, Healthtech","16,00,000",,,1.0,Pune,Maharashtra,225
"MKSSS School of Fashion Technology, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Pune,Maharashtra,226
"Fr Conceicao Rodrigues Institute of Technology, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Mumbai,Maharashtra,227
"Yashwantrao Chavan College of Engineering, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Nagpur,Maharashtra,228
"Pimpri Chinchwad University Pune, Pune, Maharashtra",Bachelor of Technology (B.Tech),"7,80,000",JEE Main,,1.0,Pune,Maharashtra,229
"MIT-ADT University, Pune, Maharashtra",Bachelor of Technology (B.Tech),"9,34,000",,,1.0,Pune,Maharashtra,230
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,231
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,232
"Cusrow Wadia Institute of Technology, Pune, Maharashtra",Diploma in Civil Engineering,"47,090",,,1.0,Pune,Maharashtra,233
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,234
"PK Technical Campus, Pune, Maharashtra",Bachelor of Engineering,"3,00,000",,,1.0,Pune,Maharashtra,235
"Chhatrapati Shivaji Maharaj University, Mumbai, Maharashtra",B.Tech (Lateral Entry),"3,30,000",,,1.0,Mumbai,Maharashtra,236
"Shri Hanuman Vyayam Prasarak Mandal&rsquo;s College of Engineering and Technology, Amravati, Maharashtra",Bachelor of Engineering,,JEE Main,,1.0,Amravati,Maharashtra,237
"Pune Zilha Shikshan Mandals College of Engineering, Pune, Maharashtra",Bachelor of Engineering,,,,1.0,Pune,Maharashtra,238
"Shri Tulja Bhawani College of Engineering, Osmanabad, Maharashtra",Bachelor of Technology (B.Tech),"1,74,072",MHT CET,,1.0,Osmanabad,Maharashtra,239
"GS Mandal&rsquo;s Maharashtra Institute of Technology, Aurangabad, Maharashtra",Bachelor of Technology (B.Tech),"2,40,000",MHT CET,,1.0,Aurangabad,Maharashtra,240
"Bharati Vidyapeeth&rsquo;s College of Engineering, Kolhapur, Maharashtra",Bachelor of Engineering,"2,95,000",JEE Main,,1.0,Kolhapur,Maharashtra,241
"SSE Society&rsquo;s College of Engineering & Technology, Akola, Maharashtra",Bachelor of Technology (B.Tech),"4,23,734",,,1.0,Akola,Maharashtra,242
"St Vincent Pallotti College of Engineering & Technology, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Nagpur,Maharashtra,243
"Manoharbhai Patel Institute of Engineering & Technology, Gondia, Maharashtra",Bachelor of Engineering,"2,85,276",MHT CET,,1.0,Gondia,Maharashtra,244
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,245
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,246
"Finolex Academy of Management & Technology, Ratnagiri, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Ratnagiri,Maharashtra,247
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,248
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,249
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,250
"Parvara Rural Engineering College, Ahmednagar, Maharashtra",Bachelor of Engineering,,JEE Main,,1.0,Ahmednagar,Maharashtra,251
"Rajiv Gandhi Institute of Technology - RGIT, Mumbai, Maharashtra",Bachelor of Engineering,"3,12,000",JEE Main,7.5 LPA,1.0,Mumbai,Maharashtra,252
"Bharati Vidyapeeth&rsquo;s College of Engineering for Women, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,55,318",,,1.0,Pune,Maharashtra,253
"College of Agricultural Engineering & Technology, Akola, Maharashtra",Bachelor of Technology (B.Tech),"12,000",MHT CET,,1.0,Akola,Maharashtra,254
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,255
"Choudhari Attarsingh Yadav Memorial Trust&rsquo;s Siddhant College, Pune, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,1.0,Pune,Maharashtra,256
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,257
"KCE Society&rsquo;s College of Engineering & Information Technology, Jalgaon, Maharashtra",Bachelor of Engineering,"2,00,000",JEE Main,,1.0,Jalgaon,Maharashtra,258
"Government College of Engineering, Chandrapur, Maharashtra",Bachelor of Technology (B.Tech),"1,00,208",MHT CET,,1.0,Chandrapur,Maharashtra,259
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,260
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,261
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,262
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,263
"MAEER&rsquo;s MIT Engineering College (MITEC), Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,60,000",MHT CET,7 LPA,1.0,Pune,Maharashtra,264
"Karmavir Dadasaheb Kannamwar College of Engineering, Nagpur, Maharashtra",Bachelor of Engineering,"2,80,000",MHT CET,,1.0,Nagpur,Maharashtra,265
"Dr AS College of Agricultural Engineering, Ahmednagar, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Ahmednagar,Maharashtra,266
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,267
"Department of Chemical Technology, Amravati, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Amravati,Maharashtra,268
"Department of Chemical Technology -Dr Babasaheb Ambedkar Marathwada University, Aurangabad, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Aurangabad,Maharashtra,269
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,270
"SSPM&rsquo;s College of Engineering, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Mumbai,Maharashtra,271
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,272
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,273
"Usha Mittal Institute of Technology, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"4,25,000",MHT CET,,1.0,Mumbai,Maharashtra,274
"Shastri Group of Institutes, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Pune,Maharashtra,275
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,276
"SVP Mandal&rsquo;s College of Engineering, Pune, Maharashtra",Bachelor of Engineering,,JEE Main,,1.0,Pune,Maharashtra,277
"Mahatma Basaveshwar Education Society&rsquo;s College of Engineering, Osmanabad, Maharashtra",Bachelor of Technology (B.Tech),"2,61,611",MHT CET,,1.0,Osmanabad,Maharashtra,278
"Dnyanganga College of Engineering and Research, Pune, Maharashtra",Bachelor of Engineering,,JEE Main,,1.0,Pune,Maharashtra,279
"Indian Institute of Information Technology (IIIT Pune), Pune, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,1.0,Pune,Maharashtra,280
"Rajaram Shinde College of Engineering, Ratnagiri, Maharashtra",Bachelor of Engineering,"1,86,400",MHT CET,,1.0,Ratnagiri,Maharashtra,281
"Dhamangaon College Of Engineering and Technology, Amravati, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Amravati,Maharashtra,282
"Nagathappa Halge Engineering College, Beed, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Beed,Maharashtra,283
"Konkan Education Society&rsquo;s Narayan Nagu Patil Engineering College, Raigad, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Raigad,Maharashtra,284
"College of Agricultural Engineering & Technology - Parbhani, Parbhani, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Parbhani,Maharashtra,285
"Vijaybhoomi University (VU), Mumbai, Maharashtra",B. E. in Artificial Intelligence,"12,80,000",JEE Main,,1.0,Mumbai,Maharashtra,286
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,287
"Yadavrao Tasgaonkar Engineering of Technology, Karjat, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,1.0,Karjat,Maharashtra,288
"Success Assured Institute, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Mumbai,Maharashtra,289
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,290
"Abhinav Institute of Technology & Management, Thane, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Thane,Maharashtra,291
"Dilkap Research Institute of Engineering and Management Studies, Mumbai, Maharashtra",Bachelor of Engineering,"3,27,028",MHT CET,,1.0,Mumbai,Maharashtra,292
"Mulshi Institute of Technology and Research, Pune, Maharashtra",Bachelor of Engineering,,JEE Main,,1.0,Pune,Maharashtra,293
"Jagdamba Education Society Nashik&rsquo;s SND College of Engineer, Nashik, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Nashik,Maharashtra,294
"Yadavrao Tasgaonkar College of Engineering and Management, Raigad, Maharashtra",Bachelor of Engineering,"3,00,000",,,1.0,Raigad,Maharashtra,295
"Al-Ameen Educational and Medical Foundations College of Engineering, Pune, Maharashtra",Bachelor of Engineering,,MHT CET,,1.0,Pune,Maharashtra,296
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,297
"Rajendra Mane College of Engineering & Technology, Ratnagiri, Maharashtra",Bachelor of Engineering,"2,82,760",MHT CET,,1.0,Ratnagiri,Maharashtra,298
"Baburao Ganpatrao Thakare College of Engineering, Nashik, Maharashtra",Bachelor of Engineering,,MHT CET,,1.0,Nashik,Maharashtra,299
"Gangamai College of Engineering, Dhule, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Dhule,Maharashtra,300
"Sanjay Education Society&rsquo;s College of Engineering, Dhule, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Dhule,Maharashtra,301
"Shri Sant College of Engineering & Technology, Jalgaon, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Jalgaon,Maharashtra,302
ATLAS SkillTech University,B.Tech / B.E.,"19,79,264",JEE Main,,1.0,Mumbai,Maharashtra,303
"Thadomal Shahani Engineering College, Mumbai, Maharashtra",Bachelor of Engineering,"5,67,075",MHT CET,,1.0,Mumbai,Maharashtra,304
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,305
"Jawahar Education Society&rsquo;s A C Patil College of Engineering (ACPCE), Mumbai, Maharashtra",Bachelor of Engineering,"2,88,000",MHT CET,,1.0,Mumbai,Maharashtra,306
"SND College of Engineering Research Centre, Nashik, Maharashtra",Bachelor of Engineering,,MHT CET,,1.0,Nashik,Maharashtra,307
Maharashtra Academy of Naval Education & training (MANET),B.Tech / B.E.,"17,51,020",,,1.0,Pune,Maharashtra,308
"STESs Singhed Institute of Technology and Science, Pune, Maharashtra",Bachelor of Engineering,"3,78,856",JEE Main,,1.0,Pune,Maharashtra,309
"Yeshwantrao Chavan MOU School of Science & Technology, Nashik, Maharashtra",Bachelor of Technology (B.Tech),,,,1.0,Nashik,Maharashtra,310
"DJ Sanghvi College of Engineering, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,1.0,Mumbai,Maharashtra,311
"Smt Indira Gandhi College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,,MHT CET,,1.0,Mumbai,Maharashtra,312
"Sardar Patel Institute of Technology & Management, Mumbai, Maharashtra",Bachelor of Engineering,"2,00,000",PET Madhya Pradesh,,1.0,Mumbai,Maharashtra,313
"Parshvanath College of Engineering, Thane, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,1.0,Thane,Maharashtra,314
"DY Patil University, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"5,04,000",,,1.0,Mumbai,Maharashtra,315
"New Horizon Institute of Technology and Management, Thane, Maharashtra",Bachelor of Technology (B.Tech),"3,31,240",JEE Main,,1.0,Thane,Maharashtra,316
